Id,Name,Ratings,Price_Rs,Original_Price_Rs,Discount_Element,Annual_Power_Usage,Room_Size_sqft,Warranty
785,"LG AI Convertible 6-in-1 Cooling 2023 Model 1 Ton 5 Star Split Inverter 4 Way Swing, HD Filter with An...",4.1,"46,990","65,990",28%, 521.2 kWh,90,1 Year Warranty on Product
786,Panasonic 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"42,400","77,150",45%, 1845 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
787,Blue Star 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"33,342","50,750",34%, 684.94 W,90,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
788,CARRIER 1 Ton 3 Star Split AC  - White,2,"36,700","53,790",31%, 758.62 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
789,"Godrej 1.5 Ton 3 Star Split Inverter AC  - White, Gold",4.1,"32,290","47,900",32%, 1046.29 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
790,Hitachi 1.5 Ton 3 Star Split Inverter AC  - White,3.7,"57,900",N/A,N/A, 1098.1 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor
791,Panasonic 1 Ton 3 Star Split Inverter AC  - White,N/A,"36,245","48,100",24%, 1211.26 kWh,90,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
792,Gazhal 1.5 Ton Split AC  - Off White,N/A,"33,749","41,980",19%, 111 - 150 sqft,,
793,Godrej 1.5 Ton Split Inverter Expandable AC  - White,N/A,"33,499","45,900",27%, 111 - 150 sqft,,
794,CARRIER 1 Ton 3 Star Split Inverter AC  - White,N/A,"41,890","44,990",6%, 1595 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
795,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"61,990","74,990",17%, 893.02 kWh, 111 - 150 ,1 Year Warranty on Product and 5 Years on Compressor
796,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"48,999","61,500",20%, 1001.2 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
797,Hitachi 1 Ton 3 Star Split Inverter AC  - Gold,3.9,"48,999","49,999",2%, 1230 kWh,90,1 years Comprehensive warranty
798,Panasonic 2 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,3.3,"62,000","69,000",10%, 1013.01 kWh, 151 - 200 ,1 Year Warranty on Product and 10 Years on Compresser
799,CARRIER 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"75,989","75,990",N/A, 966.34 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
800,Daikin 1 Ton 4 Star Split Inverter AC  - White,N/A,"65,000",N/A,N/A, 680.4 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
801,Midea 1 Ton 3 Star Split AC  - White,4,"52,999",N/A,N/A, 758.62 kWh,90,1 Year Warranty on Product and 10 Years on Compressor
802,Midea 1 Ton 3 Star Split Inverter AC  - White,4.4,"55,999",N/A,N/A, 736.57 kWh,90,1 Year Warranty on Product and 10 Years on Compressor
803,"SAMSUNG 1 Ton 3 Star Split Inverter AC  - White, Blue1",4.2,"45,990","47,990",4%, 1049.79 kWh,90,1 Year comprehensive and 10 years on Compressor
804,CARRIER 1 Ton 3 Star Split Air Filtration with High Density Filter AC  - White,4.3,"52,590",N/A,N/A, 758.62 kWh,90,1 Year Warranty on Product and 5 Years on Compressor
805,Voltas 1 Ton Split Inverter AC  - White,3.3,"54,990",N/A,N/A, 90 sqft or Below,,
806,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter AC  - White,4.1,"31,990","52,990",39%, 624.48 kWh,90,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
807,Panasonic 1.5 Ton 3 Star Split AC  - White,N/A,"37,079","47,900",22%, 1650 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 5 Years on Compressor
808,"CARRIER Flexicool Convertible 6-in-1 Cooling 1.5 Ton 5 Star Split Inverter Auto Cleanser, Dual Filtrat...",3.9,"47,800","74,090",35%, 841.86 kWh, 111 - 150 ,1 Year warranty on Product
809,"Hitachi 1.5 Ton 5 Star Split Inverter AC  - White, Gold",4.4,"60,090",N/A,N/A, 869.21 kWh, 111 - 150 ,1 Year additional comprehensive warranty
810,Blue Star 1.5 Ton 3 Star Split AC  - White,3.6,"43,339","52,250",17%, 1127.1 kWh, 111 - 150 ,1 Year Warranty on Product and 5 Years on Compressor
811,Voltas 1 Ton 3 Star Split AC  - White,3.9,"49,490",N/A,N/A, 5000 kWh,90,1 Year on Product and 5 Years on Compressor from Voltas
812,Daikin 1.5 Ton 3 Star Split with PM 2.5 Filter AC with PM 2.5 Filter  - White,4.3,"40,288","43,800",8%, 1425 kWh, 111 - 150 ,1 Year on Product and 5 Years on Compressor From Daikin
813,IFB 1.6 Ton 3 Star Split Inverter Expandable AC  - White,4.1,"46,000","51,000",9%, 5650 kWh, 151 - 200 ,1 Year Warranty on Product
814,Daikin 1 Ton 4 Star Split Inverter AC  - White,4.2,"45,000","45,100",N/A, 1110 kWh,90,1 Year on Product and 5 Years on Compressor from Daikin
815,CARRIER 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"78,000","79,890",2%, 871.59 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
816,Hitachi 2 Ton 3 Star Split Inverter AC  - White,3.3,"79,800",N/A,N/A, 1388.08 kWh, 151 - 200 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
817,Whirlpool 4 in 1 Convertible Cooling 1 Ton 3 Star Split Inverter AC  - White,4.1,"46,000","58,999",22%, 690.49 kWh,90,1 year comprehensive+5year on compressor
818,Whirlpool 4 in 1 Convertible Cooling 1 Ton 5 Star Split Inverter AC  - White,4.1,"56,999","59,999",5%, 2090 kWh,90,1 year comprehensive+10year on compressor
